simplified	traditional	pinyin number	pinyin symbols 	english
?	?	"jiao1, jiao4"	"ji?o, jiào"	teach; instruct | religion; teaching
?	?	lian3	li?n	face
??	??	jian3dan1	ji?nd?n	simple; not complicated
??	??	jian3cha2	ji?nchá	to check; examine; inspect
??	??	yin1yue4	y?nyuè	music
?	?	yue4	yuè	even more; the more; exceed
??	??	zhao4gu5	zhàogu	take care of; look after; give consideration
??	??	cong1ming5	c?ngming	intelligent; clever; bright; smart
?	?	tian2	tián	sweet
??	??	tu1ran2	t?rán	sudden; abrupt
??	??	zhong1yu2	zh?ngyú	at last; in the end; finally
?	?	chuan2	chuán	a boat; vessel; ship
?	?	kou3	k?u	mouth (Kangxi radical 30)
??	??	hui2da2	huídá	to reply; to answer
??	??	li3wu4	l?wù	gift; present
??	??	tou2fa5	tóufa	hair (on the head)
??	??	guan1xin1	gu?nx?n	concerned about/with
?	?	jiao3	ji?o	foot (body part)
??	??	sheng1qi4	sh?ngqì	angry; mad
?	?	ku1	k?	cry; weep
?	?	hua4	huà	draw; picture; painting
??	??	nian2qing1	niánq?ng	young
?	?	bao1	b?o	"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)"
?	?	tui3	tu?	leg
??	??	wang4ji4	wàngjì	forget
?	?	ban1	b?n	to move; to transport
?	?	lou2	lóu	story; floor; (multi-story) building
??	??	yu4dao4	yùdào	to meet; run into; come across
??	??	xin1wen2	x?nwén	news
??	??	bi3jiao4	b?jiào	compare; contrast; relatively
?	?	shuang1	shu?ng	two; double; (mw for pairs)
??	??	jian4mian4	jiànmiàn	meet/see somebody (face to face); meeting
??	??	jing1chang2	j?ngcháng	often; frequently; daily
??	??	cheng2shi4	chéngshì	city or town
???	???	yi2hui4r5	yíhuìr	a while; a moment
??	??	fu4jin4	fùjìn	(in the) vicinity; nearby; neighboring
?	?	jie4	jiè	lend; borrow; excuse
??	??	ying3xiang3	y?ngxi?ng	influence; affect; effect
??	??	ren4zhen1	rènzh?n	serious; earnest; take seriously
?	?	mi3	m?	rice; meter (Kangxi radical 119)
?	?	"cha4, cha1, chai1, ci1"	"chà, ch?, ch?i, c?"	differ from; fall short of; poor; inferior | difference | to dispatch
??	??	yin2hang2	yínháng	bank
??	??	an1jing4	?njìng	quiet; peaceful; calm
??	??	duo1me5	du?me	"how (wonderful, etc.); what (a great idea)"
?	?	e4	è	hungry
??	??	gen1ju4	g?njù	according to; based on; basis
??	??	ji1hu1	j?h?	almost
??	??	hou4lai2	hòulái	afterwards; after; later
??	??	dong4wu4	dòngwù	animal
?	?	xi1	x?	West (Kangxi radical 146)
??	??	yi4bian1	yìbi?n	one side; on the one hand; at the same time
??	??	shu1fu5	sh?fu	comfortable; feeling well
??	??	yi4ban1	yìb?n	general; ordinary; common; same
??	??	shu1shu5	sh?shu	(informal) father's younger brother; uncle
?	?	teng2	téng	ache; sore; (it) hurts; love fondly
??	??	chi2dao4	chídào	arrive late
??	??	li4shi3	lìsh?	history
??	??	pi2jiu3	píji?	beer
?	?	duan3	du?n	"short (in length, duration, or height); lack"
??	??	jing1guo4	j?ngguò	to pass; go through; as a result of
??	??	zhou1mo4	zh?umò	weekend
?	?	ban1	b?n	team; class; squad
??	??	xi2guan4	xíguàn	habit; be accustomed to; usual practice
??	??	gong1yuan2	g?ngyuán	public park
??	??	gan1jing4	g?njìng	clean; neat and tidy
?	?	niao3	ni?o	bird (Kangxi radical 196)
??	??	jian4kang1	jiànk?ng	health; healthy
?	?	shu4	shù	tree
??	??	dan4gao1	dàng?o	cake
?	?	yuan2	yuán	Chinese monetary unit; dollar; first; principal
??	??	ke4ren2	kèrén	guest; customer
??	??	hui4yi4	huìyì	meeting; conference
??	??	nai3nai5	n?inai	grandma; (informal) paternal grandmother
??	??	ku4zi5	kùzi	pants; trousers
??	??	lin2ju1	línj?	neighbor
??	??	jing1li3	j?ngl?	manager; director
?	?	ceng2	céng	"(mw for layers, floors of buildings)"
?	?	deng1	d?ng	lamp; light
??	??	lian4xi2	liànxí	practice; exercise
??	??	ye2ye5	yéye	(informal) father's father; paternal grandfather
?	?	lan2	lán	blue
??	??	nan2guo4	nánguò	be grieved; be sad; have a hard time
??	??	zhong1jian1	zh?ngji?n	center; middle; between; among
??	??	mao4zi5	màozi	hat; cap
??	??	si1ji1	s?j?	driver; chauffeur
?	?	jiu4	jiù	old; past; used
??	??	man3yi4	m?nyì	satisfied; pleased
?	?	qi2	qí	to ride (an animal or bike); to sit astride
??	??	tai4yang2	tàiyáng	the sun
?	?	ji2	jí	an extreme; pole; very
??	??	zhu3yao4	zh?yào	main; principal; major
??	??	tong2shi4	tóngshì	colleague; co-worker
??	??	bi2zi5	bízi	nose
?	?	"jiao3, jue2"	"ji?o, jué"	horn; angle; unit of money (1/10 yuan); corner (Kangxi radical 148) | role (theater)
??	??	bian4hua4	biànhuà	change
?	?	dong1	d?ng	East
??	??	nian2ji2	niánjí	grade; year (in school)
??	??	huan2jing4	huánjìng	environment; surroundings
?	?	pang4	pàng	fat; plump
??	??	di4tu2	dìtú	map
??	??	mian4bao1	miànb?o	bread
????	????	dian4zi3 you2jian4	diànz? yóujiàn	email
??	??	er3duo5	?rduo	ear
??	??	qun2zi5	qúnzi	skirt
??	??	xin1xian1	x?nxi?n	"fresh (experience, food, etc.); new; novel"
??	??	fang4 xin1	fàng x?n	relax; feel relieved; rest assured
??	??	liao2tian1	liáoti?n	to chat
?	?	nan2	nán	South
??	??	re4qing2	rèqíng	cordial; warm; enthusiastic
???	???	xin4yong4ka3	xìnyòngk?	credit card
??	??	dian4ti1	diànt?	elevator
??	??	fang1bian4	f?ngbiàn	convenient
???	???	xi3shou3jian1	x?sh?uji?n	toilet; lavatory; washroom
??	??	xi3zao3	x?z?o	bathe; take a bath or shower; bath or shower
??	??	yin3liao4	y?nliào	beverage; drink
??	??	xiao4zhang3	xiàozh?ng	"principal (of school, college or university); president; headmaster"
??	??	shui3ping2	shu?píng	level; standard; horizontal
??	??	zuo4ye4	zuòyè	school assignment; homework; task
??	??	chen4shan1	chènsh?n	shirt; blouse
??	??	cheng2ji4	chéngjì	achievement; success; results (of work or study)
?	?	wan3	w?n	bowl; cup
??	??	a1yi2	?yí	auntie; step-mother; mother's younger sister
???	???	tu2shu1guan3	túsh?gu?n	library
??	??	wen2hua4	wénhuà	culture; civilization
?	?	lv4	l?	green
??	??	da3sao3	d?s?o	to clean; to sweep
?	?	cao3	c?o	grass; straw; draft (of a document)
??	??	bing1xiang1	b?ngxi?ng	refrigerator
??	??	shu4xue2	shùxué	mathematics
???	???	zi4xing2che1	zìxíngch?	bike; bicycle
??	??	zhao2ji2	zháojí	to worry; feel anxious
?	?	shou4	shòu	thin; tight; lean
??	??	ti2gao1	tíg?o	to raise; heighten; improve
??	??	qi3fei1	q?f?i	take off (in an airplane); liftoff
?	?	ai3	?i	short; low
??	??	di4tie3	dìti?	subway
??	??	ti3yu4	t?yù	physical training; sports
?	?	ke4	kè	quarter (hour); (mw for short time intervals); carve; to cut
??	??	hu4zhao4	hùzhào	passport
??	??	jie2ri4	jiérì	holiday; festival
??	??	pan2zi5	pánzi	plate; dish; tray
??	??	yi2gong4	yígòng	altogether; in total
??	??	ping2zi5	píngzi	bottle
??	??	jie1dao4	ji?dào	street
??	??	duan4lian4	duànliàn	to exercise; work out; toughen; to temper
??	??	gan3mao4	g?nmào	catch cold; (common) cold
??	??	ai4hao4	àihào	hobby; fond of; to like; interest
??	??	chao1shi4	ch?oshì	supermarket
??	??	yue4liang5	yuèliang	the moon
?	?	bao3	b?o	eat until full; satisfied
??	??	you3ming2	y?umíng	famous; well-known
??	??	xiang1jiao1	xi?ngji?o	banana
???	???	bi3ji4ben3	b?jìb?n	notebook
?	?	xia4	xià	summer
??	??	cai4dan1	càid?n	menu
??	??	bei3fang1	b?if?ng	north; the northern part of the country
??	??	shang4wang3	shàngw?ng	to surf the web; to go online
??	??	ji4jie2	jìjié	season; time; period
?	?	ke3	k?	thirsty
??	??	fa1shao1	f?sh?o	have a fever
??	??	bu2dan4	búdàn	not only
??	??	kong1tiao2	k?ngtiáo	air conditioning
???	???	zhao4xiang4ji1	zhàoxiàngj?	camera
?	?	chun1	ch?n	spring (season); joyful
?	?	san3	s?n	umbrella; parasol
??	??	gong1jin1	g?ngj?n	kilogram
??	??	ge4zi5	gèzi	height; stature; build
??	??	xiong2mao1	xióngm?o	panda
??	??	shua1ya2	shu?yá	brush one's teeth
??	??	fu4xi2	fùxí	revise; to review
?	?	dong1	d?ng	winter
??	??	qing3 jia4	q?ng jià	to ask for time off
??	??	Zhong1wen2	Zh?ngwén	Chinese (language)
?	?	qiu1	qi?	autumn; fall; harvest time
??	??	ju4zi5	jùzi	sentence
???	???	xing2li3xiang1	xíngl?xi?ng	trunk; suitcase
??	??	kuai4zi5	kuàizi	chopsticks
??	??	pi2xie2	píxié	leather shoes
??	??	pa2shan1	pásh?n	mountain climbing
??	??	hei1ban3	h?ib?n	blackboard
???	???	gan3 xing4qu4	g?n xìngqù	be interested in
??	??	ci2dian3	cídi?n	dictionary
??	??	liu2 xue2	liú xué	study abroad
??	??	gua1feng1	gu?f?ng	windy; to blow (wind)
??	??	huang2he2	huánghé	Yellow River
